AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,AnimalClass,Симптомы_рус
cat,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia,Yes,кот,"Кровавая моча, Трудности дыхание, Рвота, Потеря веса, Анорексия"
cat,Loss of eat,Difficulty in breathing,Swelling ,Lameness,Neurologic abnormalities,Yes,кот,"Потеря еды, Трудность в дыхании, Припухлость, Хромота, Неврологические отклонения"
cat,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain,Yes,кот,"Темное или черное лицо, Диарея, Рвота, Кровь на лицах, Боль"
cat,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums,Yes,кот,"Желтуха, Трудность в дыхании, Припадки, Летаргия, Бледные десны"
cat,Appetite varies,Diarrhea,Vomiting,Weight loss,Pain,Yes,кот,"Аппетит варьируется, Диарея, Рвота, Потеря веса, Боль"
cat,Loss of eat,Fell unwell,Lethargy,Weight loss,Skin issue,Yes,кот,"Потеря еды, Нездорово, Летаргия, Потеря веса, Проблема кожи"
cat,Sickness,Loss of  appetite,Vomiting,Weight loss,Raised growth or bump,Yes,кот,"Болезнь, Потеря аппетита, Рвота, Потеря веса, Повышенный рост или удар"
cat,Nasal Bleeding,Diffulty chewing,Swelling ,Weight loss,Anorexia,Yes,кот,"Носовое кровотечение, Трудность жевания, Припухлость, Потеря веса, Анорексия"
cat,Ulcers,Lesions ,Scabs,Lumps,"Bumps(black,grey or red)",Yes,кот,"Язвы, Поражения, Spabs, Комочки, Шишки (черный, серый или красный)"
cat,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool,Yes,кот,"Газ, Потеря аппетита, Кровь в табуретке, Рычание желудка, Черный табурет"
cat,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear,Yes,кот,"Дрожащая голова, Царапает ухо, Черный на ухо, Плохой запах, Красное и воспалительное ухо"
cat,Attacks,Loss of  appetite,Coughing,Weight loss,Periodic vommiting,Yes,кот,"Атаки, Потеря аппетита, Кашель, Потеря веса, Периодическая рвота"
cat,Blood stool,Diarrhea,Coughing,Weight loss,Anemia,Yes,кот,"Кровавый табурет, Диарея, Кашель, Потеря веса, Анемия"
cat,Nasal discharge,Nosebleeds,inflamed nostrils,Sneezing,Lound breathing,Yes,кот,"Носовая выделение, Носовые кровотечения, воспаленные ноздри, Чихание, Громкое дыхание"
cat,Polyuria,Loss of  appetite,Vomiting,Weight loss,Polydipsa,Yes,кот,"Полиурия, Потеря аппетита, Рвота, Потеря веса, Полидипсия"
cat,Exessive Urination,Change in gait,Vomiting,Weight loss,Inability to jump,Yes,кот,"Чрезмерное мочеиспускание, Изменение в походке, Рвота, Потеря веса, Неспособность прыгать"
cat,Convulsion,Loss of consciousness,chewing,Twitching,Salivating,Yes,кот,"Судорога, Потеря сознания, жевание, Дергается, Слюноотделение"
cat,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath,Yes,кот,"Хрипил, Быстрое дыхание, Кашель, Глотание, Усилие дышать"
cat,Jaundice,Weekness,Lethargy,Weight loss,Anorexia,Yes,кот,"Желтуха, НЕКОТОРЫ, Летаргия, Потеря веса, Анорексия"
cat,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue,Yes,кот,"Повреждение на коже кошки, Перхоть в кошачьем пальто, Красные пятна, Выпадение волос, Проблема кожи"
cat,Lethargy,Diarrhea,Vomiting,Discharge from eye,Anorexia,Yes,кот,"Летаргия, Диарея, Рвота, Разряд из глаз, Анорексия"
cat,Skin irritation,Scartching,Lethargy,Hair loss,Excessive grooming,Yes,кот,"Раздражение кожи, Царапание, Летаргия, Выпадение волос, Чрезмерный уход"
cat,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements,Yes,кот,"Мышцы Floopy, Задержка речи, Интеллектуальная инвалидность, Проблема ходьбы, Движения глаз"
cat,Sensitivity to bright light,Disharge from affected eye,Inflammation,Clouded cornea,Rubbing eye,Yes,кот,"Чувствительность к яркому свету, Выписка от пораженного глаза, Воспаление, Облаженная роговица, Потирая глаза"
cat,Fever,Diarrhea,Vomiting,Cramps,Dehydration,Yes,кот,"Высокая температура, Диарея, Рвота, Судороги, Обезвоживание"
cat,Tenderness,Erythema,Swelling ,Scartch,Pain,Yes,кот,"Нежность, Эритема, Припухлость, Царапать, Боль"
cat,Fever,Diarrhea,Vomiting,Salivation,Decrease appetite,Yes,кот,"Высокая температура, Диарея, Рвота, Слюноотделение, Уменьшить аппетит"
cat,Scaly patches of skin,Sore,Scabs,Scartch,Hair loss,Yes,кот,"Чешуйчатые пятна кожи, Больной, Spabs, Царапать, Выпадение волос"
cat,Fatty stool,Diarrhea,Vomiting,Weight loss,Pain,Yes,кот,"Жирный стул, Диарея, Рвота, Потеря веса, Боль"
cat,Nausea,Loss of appetite,Vomiting,Firm,Distended stomach,Yes,кот,"Тошнота, Потеря аппетита, Рвота, Твердый, Расставленный желудок"
cat,Fever,Swelling  in the bite area,Lethargy,Limp,Pain,Yes,кот,"Высокая температура, Отек в зоне укуса, Летаргия, Хромать, Боль"
cat,Fever,Loss of appetite,Eyeproblem,Liver disease,Nuerological,Yes,кот,"Высокая температура, Потеря аппетита, Проблема с глазами, Болезнь печени, Неврологический"
cat,Fever,Mild sneezing,Coughing,Nasal,Ocular discharge,Yes,кот,"Высокая температура, Мягкое чихание, Кашель, Носовой, Глазное выделение"
rabbit,Most often none,Sneezing,Nasal Discharge,Dyspnea,Pain,Yes,хомячок,"Чаще всего нет, Чихание, Носовая выделение, Одышка, Боль"
rabbit,Fever,Diarrhea,Vomiting,Blood from mouth,Shock,Yes,хомячок,"Высокая температура, Диарея, Рвота, Кровь из уст, Шок"
rabbit,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain,Yes,хомячок,"Дискомфорт, Диарея, Сухое или тусклые волосы, Измельчение зубов, Боль"
rabbit,Loss of appetite,Swelling,Nasal Discharge,Blindness,Lethargy,Yes,хомячок,"Потеря аппетита, Припухлость, Носовая выделение, Слепота, Летаргия"
rabbit,Rhinitis,Pneumonia ,abscessess,Torticollis,Septicemia,Yes,хомячок,"Ринит, Пневмония , абсцесса, Кривошея, Сепсис"
rabbit,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps,Yes,хомячок,"Высокая температура, Диарея, Энтерит, Потеря веса, Желудочные судороги"
rabbit,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities,Yes,хомячок,"Немедленная смерть, Трудность в дыхании, Голубая окрашенная губа, Кровавые выписки, Неврологические отклонения"
rabbit,Fever,Pox lession on skin,Skin reashes,Nasal discharge,Mortality varies,Yes,хомячок,"Высокая температура, Поражение оспы на коже, Кожная сыпь, Носовая выделение, Смертность варьируется"
rabbit,Red on affected area,Horny growth,Wart-like growth,Red skin,Lesions on ear,Yes,хомячок,"Красный на пострадавшем районе, Возбужденный рост, Бородный рост, Красная кожа, Поражения на ухе"
rabbit,Fever,Chills,Skin ulcer,Exhaustion,Swollen and painfull,Yes,хомячок,"Высокая температура, Озноб, Язва кожи, Истощение, Опухший и болезненный"
rabbit,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy,Yes,хомячок,"Поливная диарея, Депрессия, Истощение, Рюшат, Летаргия"
cow,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea,Yes,хомячок,"потеря веса, истощение, потеря аппетита, Слабость, диарея"
chicken,loss of appetite,diarrhea,swollen purple wattle,Swollen comb,Lameness,Yes,птица,"потеря аппетита, диарея, опухший фиолетовый плетение, Опухший расческа, Хромота"
chicken,loss of appetite,diarrhea,ruffled feathers,Weight loss,Inability to absorb nutrients,Yes,птица,"потеря аппетита, диарея, рюшат перья, Потеря веса, Неспособность поглощать питательные вещества"
chicken,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,Yes,птица,"Производство яиц уменьшается, Задержка роста, Слепота, Отличительные удары, Отек лица"
chicken,loss of appetite,thirst,ruffled feathers,Closed eyes,Diarrhea,Yes,птица,"потеря аппетита, жажда, рюшат перья, Закрытые глаза, Диарея"
cow,Fever,weakened legs,los of the ability to walk,Mammary glads,Fluif filled blisters,Yes,хомячок,"Высокая температура, ослабленные ноги, LOS способности ходить, Молочные железы, Заполненные жидкостью волдыри"
cow,Fever,weakened legs,los of the ability to walk,Weight loss,Lameness,Yes,хомячок,"Высокая температура, ослабленные ноги, LOS способности ходить, Потеря веса, Хромота"
cow, abortion at the end of gestation,Fatigue,weak calves,Join pains,Swelling of internal organs,Yes,хомячок,"аборт в конце беременности, Усталость, слабые телята, Присоединяйтесь к болам, Отек внутренних органов"
mammal,swollen,red-colored ,hot udder,Milk getting out more watery,Milk getting out more thick,Yes,хомячок,"вздутый, красный цвет, Горячий вымен, Молоко выходит более водянистого, Молоко выходит более толстое"
cow,Fever,Distress,Trembling,Staggering,Convulsion,Yes,хомячок,"Высокая температура, Бедствие, Дрожь, Ошеломляющий, Судорога"
cow,Fever,Animal become lame,Prostrat,Painfull Swalling,Lameness,Yes,хомячок,"Высокая температура, Животное становится хромым, Простата, Болезненное глотание, Хромота"
cow,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,Yes,хомячок,"Высокая температура, Трудность в дыхании, Дриблинг слюны, Неспособность кормления глобального, Влажный и болезненный"
cow,Fluif Faeces on blood and muscle,Sudden Death,Blooody Fluid,Red Diarrhea,Faeces are streake with blood,Yes,хомячок,"Жидкие фекалии на крови и мышцах, Внезапная смерть, Кровавая жидкость, Красная диарея, Феканист"
cow,Fever,Pneumonia ,Stand with head droping,Weight loss,Abnormal behaviour,Yes,хомячок,"Высокая температура, Пневмония , Стоять с падением головы, Потеря веса, Ненормальное поведение"
cow,Fever,Slightly Swollen,Lession on the skin,Milky Hard,Papules appear on teats anad udder,Yes,хомячок,"Высокая температура, Слегка опухший, Поражение на коже, Млечный жесткий, Папулы появляются на сосках и вымене"
cow,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production,Yes,хомячок,"Высокая температура, Тупой, Задних квартала почва, Живота остановка корма, Снижение производства молока"
cow,Severe,Diarrhea,Blood on faces,Appetite,Milk reduce,Yes,хомячок,"Серьезный, Диарея, Кровь на лицах, Аппетит, Молоко уменьшается"
cow,Fever,Depression,Relunctance to move,Salivation,Nasal Discharge,Yes,хомячок,"Высокая температура, Депрессия, Нежелание двигаться, Слюноотделение, Носовая выделение"
cow,Normal appetite,Diarrhea,Swelling may occur under jaw,Weight loss,Drop in milk production,Yes,хомячок,"Нормальный аппетит, Диарея, Набухание может возникнуть под челюстью, Потеря веса, Падение производства молока"
cow,Swelling on leg,Heat,Hardness,Redness,Pain,Yes,хомячок,"Отек на ноге, Нагревать, Твердость, Покраснение, Боль"
cow,Inability to stand ,Diarrhea,Bottle Jaw,Pot belly,Dry Hair coat,Yes,хомячок,"Неспособность стоять, Диарея, Бутылка челюсть, Горшок живот, Сухой шерсть"
cow,Excitability,Nervousness,loss of appetite,Hyper sensitivity,Weakness,Yes,хомячок,"Возбудимость, Нервозность, потеря аппетита, Гиперчувствительность, Слабость"
cow,Fever,Depression,Attack,Bite other animals,Pain,Yes,хомячок,"Высокая температура, Депрессия, Атака, Укусить других животных, Боль"
cow,Fever,Difficulty in breathing,Coughing,Painfull,Eye become dull,Yes,хомячок,"Высокая температура, Трудность в дыхании, Кашель, Болезненный, Глаз стал скучным"
cow,Fever,Ulcer on gum,Red eye,Yellowish Discharge,Bloody Diarrhea,Yes,хомячок,"Высокая температура, Язва на жевательной резине, Красный глаз, Желтоватый разряд, Кровавая диарея"
cow,Fever,Diarrhea,Coughing,Consistency of milk,Pain,Yes,хомячок,"Высокая температура, Диарея, Кашель, Консистенция молока, Боль"
cow,Animal gets uneasy,Difficulty in breathing,Difficult in respiration,Excessive production,Stamping And pedding of hind eye,Yes,хомячок,"Животное становится неловким, Трудность в дыхании, Трудно в дыхании, Чрезмерное производство, Штамповка и ход задних глаз"
horse,Fever,Chills,Severe colic,Weakness,Anorexia,Yes,хомячок,"Высокая температура, Озноб, Тяжелый колик, Слабость, Анорексия"
horse,Fever,Body stiffness,Lethargy,Severe inflammation,Pain,Yes,хомячок,"Высокая температура, Жесткость тела, Летаргия, Тяжелое воспаление, Боль"
horse,Sickness,Diarrhea,Weight loss,Nausea,Dehydration,Yes,хомячок,"Болезнь, Диарея, Потеря веса, Тошнота, Обезвоживание"
horse,Sudden death,Trouble walking,Paralysis,Depression,Convulsion,Yes,хомячок,"Внезапная смерть, Проблема ходить, Паралич, Депрессия, Судорога"
horse,Fever,Abortion,Kidney failure,Inflammation of eye,Eye redness,Yes,хомячок,"Высокая температура, Аборт, Почечная недостаточность, Воспаление глаз, Глаза покраснение"
horse,Small red bumps,Pneumonia ,Septic Arthritis,Skin infection,Pain,Yes,хомячок,"Маленькие красные удары, Пневмония , Септический артрит, Кожная инфекция, Боль"
horse,Fever,Ataxia,Aggressiveness,Depression,Obscure Lameness,Yes,хомячок,"Высокая температура, Атаксия, Агрессивность, Депрессия, Неясная хромота"
horse,Ring shaped Lesion,Round patches,Dry skin,Size of lesions vary,Pain,Yes,хомячок,"Повреждение в форме кольца, Круглые пятна, Сухая кожа, Размер поражений варьируется, Боль"
horse,Fever,Diarrhea,loss of appetite,Colic,Weakness,Yes,хомячок,"Высокая температура, Диарея, потеря аппетита, Колики, Слабость"
horse,Fever,Depression,loss of appetite,Stumbling,Ataxia,Yes,хомячок,"Высокая температура, Депрессия, потеря аппетита, Спотыкается, Атаксия"
turtle,Bubbles in the mouth,Wheezing,loss of appetite,Lethargy,Nasal Discharge,Yes,хомячок,"Пузыри во рту, Хрипил, потеря аппетита, Летаргия, Носовая выделение"
turtle,Changes in outer layer skin,Swelling of eye,loss of appetite,Lethargy,Respiratory infection,Yes,хомячок,"Изменения кожи наружного слоя, Отек глаз, потеря аппетита, Летаргия, Респираторная инфекция"
turtle,Red Tinge,Slim over the shell,Bad smell,Easily damage shell,Flaking of the Scutes,Yes,хомячок,"Красный оттенок, Погрузиться в раковину, Плохой запах, Легко повредить оболочку, Отслаивание закусов"
turtle,Passing of undigested food,Diarrhea,Vomiting,Gas or bloating,Dehydration,Yes,хомячок,"Прохождение непереваренной еды, Диарея, Рвота, Газ или вздутие живота, Обезвоживание"
hamster,Smell,Diarrhea,loss of appetite,Excess sleeping,Folded Ears,Yes,хомячок,"Запах, Диарея, потеря аппетита, Избыточный сон, Сложенные уши"
hamster,Loss of activity,Rough coat,loss of appetite,Weight loss,Eventually death,Yes,хомячок,"Потеря активности, Грубое пальто, потеря аппетита, Потеря веса, В конце концов смерть"
hamster,Fever,Diarrhea,Vomiting,Dehydration,Pain,Yes,хомячок,"Высокая температура, Диарея, Рвота, Обезвоживание, Боль"
hamster,Bald patches,Hair loss,Crusty,Flaky,Red lesion from bald patches,Yes,хомячок,"Лысые пятна, Выпадение волос, Хрустящий, Флот, Красное поражение от лысиных пятен"
hamster,Poor condition,Enlarged lymph nodes,Diarrhea,Weight loss,Pain,Yes,хомячок,"Плохое состояние, Увеличенные лимфатические узлы, Диарея, Потеря веса, Боль"
hamster,Fever,Chills,Coughing,Progressive weakness,Joint Pain,Yes,хомячок,"Высокая температура, Озноб, Кашель, Прогрессивная слабость, Боль в суставах"
hamster,Heavy infection,Diarrhea,Vitamin and minerals defiency,Weight loss,Pain,Yes,хомячок,"Тяжелая инфекция, Диарея, Дефицит витамина и минералов, Потеря веса, Боль"
lion,Fever,Diarrhea,Muscle weakness,Muscle pain,Abdonormal discomfort,Yes,кот,"Высокая температура, Диарея, Мышечная слабость, Мышечная боль, Абдонормальный дискомфорт"
lion,Fever,Chills,Headache,Nausea,Pain,Yes,кот,"Высокая температура, Озноб, Головная боль, Тошнота, Боль"
lion,Thicked skin,Hair tining,Hair loss,Scabbing,Itchiness,Yes,кот,"Толстая кожа, Истончение волос, Выпадение волос, Scabbing, Зуд"
lion,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain,Yes,кот,"Отек лица, Потеря слуха, Рвота, Головная боль, Боль в горле и ушах"
lion,General malaise,Hepatic failure,Vomiting,Weight loss,Abdonormal pain,Yes,кот,"Генеральная недомогание, Печеночная неудача, Рвота, Потеря веса, Абдонормальная боль"
lion,Upset stomach,Loss of appetite,Nause,Weight loss,Abdonormal pain,Yes,кот,"Расстроен желудок, Потеря аппетита, Топ, Потеря веса, Абдонормальная боль"
lion,Fever,Muscle Loss,Skeleten pain,Weight loss,Wasting,Yes,кот,"Высокая температура, Потеря мышц, Боль скелет, Потеря веса, Впустую"
lion,Oedema,Swelling of face or leg,Swelling of neck,Weight loss,Pain,Yes,кот,"Отек, Отек лица или ноги, Отек шеи, Потеря веса, Боль"
lion,Poor growth,Short stature,Enlargement of bones,Lameness,Weigth bearing long bones,Yes,кот,"Плохой рост, Короткий рост, Увеличение костей, Хромота, Весовой"
lion,Fever,Chills,Sweat,Head ache,Fatique,Yes,кот,"Высокая температура, Озноб, Пот, Головная боль, Фатик"
lion,Fever,Loss of appetite,Weakness,Weight loss,Vomitting,Yes,кот,"Высокая температура, Потеря аппетита, Слабость, Потеря веса, Рвота"
lion,Dullness,Lacrimation,Coughing,Diarrhea,Seizures,Yes,кот,"Тупость, Лэктримация, Кашель, Диарея, Припадки"
lion,Vomiting,Bloody diarrhea,Lethargy,Dehydration,Anorexia,Yes,кот,"Рвота, Кровавая диарея, Летаргия, Обезвоживание, Анорексия"
lion,Fever,Uncharacteristic hiding,Depression,Dehydration,Stopped eat,Yes,кот,"Высокая температура, Нехарактерное укрытие, Депрессия, Обезвоживание, Остановился поесть"
lion,Fever,Poor coat condition,Infection of the skin,Weight loss,Fatique,Yes,кот,"Высокая температура, Плохое состояние пальто, Инфекция кожи, Потеря веса, Фатик"
lion,Weakness,Stiffness,Trembling,White mark on the muscle,Loss of vitamin E,Yes,кот,"Слабость, Жесткость, Дрожь, Белая отметка на мышцах, Потеря витамина Е"
fox,Partial Paralysis,Staggering as drunk,Self Mutilation,Acting aggressive,Acting unnaturally tame,Yes,собака,"Частичный паралич, Ошеломляющий как пьяный, Самоарапевность, Актерский агрессивный, Действие неестественно ручной"
fox,Fever,Tiredness,Headache,Skin rashes,Pain,Yes,собака,"Высокая температура, Усталость, Головная боль, Кожная сыпь, Боль"
fox,Thick Crusting,Itchiness,Hair loss,Watery eye,Pain,Yes,собака,"Толстая корка, Зуд, Выпадение волос, Водянистый глаз, Боль"
fox,Constant pacing,Facial muscle twitching,abnormalalities,Blindness,Muscle pain,Yes,собака,"Постоянный темп, Подергивание мышц лица, аномалии, Слепота, Мышечная боль"
fox,Loss od appetite,Wheezing,Seizuers,Skin rashes,Fatique,Yes,собака,"Потеря аппетита, Хрипил, Припадки, Кожная сыпь, Фатик"
fox,Indigestion,Abdminal pain,Constipation,Diarrhea,Nausea,Yes,собака,"Расстройство желудка, Боль в животе, Запор, Диарея, Тошнота"
fox,Blood in urine,Diarrhea,Vomiting,Lethargy,Bleeding in eye and skin,Yes,собака,"Кровь в моче, Диарея, Рвота, Летаргия, Кровотечение в глазах и коже"
goat,Fever,Malaise,Weakness,Weight loss,Pain,Yes,хомячок,"Высокая температура, Недомогание, Слабость, Потеря веса, Боль"
goat,Fever,Diarrhea,Vomiting,Stomach cramps,Nausea,Yes,хомячок,"Высокая температура, Диарея, Рвота, Желудочные судороги, Тошнота"
goat,Fever,Lack of coordination,Depression,Salivation,Facial paralysis,Yes,хомячок,"Высокая температура, Отсутствие координации, Депрессия, Слюноотделение, Паралич лица"
goat,Sores on lip,Infection,Sores on lower leg and teats,Lesion,Pain,Yes,хомячок,"Язвы на губе, Инфекция, Язвы на гонях и сосках, Поражение, Боль"
goat,Abortion on late pregancy,Stillbirth,Retained Placenda,Endomeritis,Decrease appetite,Yes,хомячок,"Аборт при поздней беременности, Мертворождение, Оставленная плацента, Эндометрит, Уменьшить аппетит"
goat,paresis,paralysis,Weakness,Stomach cramps,Diarrhea,Yes,хомячок,"парез, паралич, Слабость, Желудочные судороги, Диарея"
goat,Fever,Diarrhea,Swelling,Weight loss,Pain,Yes,хомячок,"Высокая температура, Диарея, Припухлость, Потеря веса, Боль"
goat,Fever,Hemolytic anemia,Hemoglobinuria,pulmonary congestion,Jaundice,Yes,хомячок,"Высокая температура, Гемолитическая анемия, Гемоглобинурия, легочный застой, Желтуха"
goat,Abortion ,Mummification,Stillbirth,Weak kids,Pain,Yes,хомячок,"Аборт, Мумификация, Мертворождение, Слабые дети, Боль"
goat,Runny nose,Difficulty in breathing,Coughing,Weakness,Loss of appettite,Yes,хомячок,"Насморк, Трудность в дыхании, Кашель, Слабость, Потеря аппетита"
goat,Fever,Nasal discharge,Respiratory distress,Pox lesion,Pain,Yes,хомячок,"Высокая температура, Носовая выделение, Респираторный дистресс, Поражение оспы, Боль"
goat,Fever,Dark colored bloody,Incoordination,Difficulty in breathing,Terminal convulsion,Yes,хомячок,"Высокая температура, Темный цвет кровавый, Нарушение, Трудность в дыхании, Терминальная судорога"
goat,Fever,Dysentery,Swelling,Immediate death,Pain,Yes,хомячок,"Высокая температура, Дизентерия, Припухлость, Немедленная смерть, Боль"
goat,Fever,Respiratory distress,Mucous discharge,Reduce feed,Weight gain,Yes,хомячок,"Высокая температура, Респираторный дистресс, Слизистый разряд, Уменьшить корм, Увеличение веса"
goat,Decreased milk,Holding limbs off the ground,Weight loss,Lameness,Wool production,Yes,хомячок,"Снижение молока, Удерживая конечности, Потеря веса, Хромота, Производство шерсти"
